id,pair,direction,open_time,close_time,position_open_price,position_close_price,runup,drawdown,net_profit,lowest_price,highest_price,rev_direction
142,DOGEUSDT,long,2023-11-26 22:08:12,2023-11-26 22:10:06,0.07758,0.07756,-0.04,-0.12,-0.11,0.077548968,0.077611032,short
143,C98USDT,long,2023-11-26 22:08:13,2023-11-26 22:10:06,0.19,0.1897,-0.13,-0.29,-0.24,0.189601,0.18990500000000002,short
144,ENJUSDT,long,2023-11-26 22:01:07,2023-11-26 22:11:05,0.3042,0.3048,0.38,-0.01,0.12,0.30441294,0.30559932,short
145,WAVESUSDT,long,2023-11-26 22:04:08,2023-11-26 22:11:05,2.1495,2.1513,0.11,-0.14,0.0,2.1482103,2.15358405,short
146,XEMUSDT,long,2023-11-26 22:09:08,2023-11-26 22:11:06,0.0365,0.0364,-0.08,-0.35,-0.35,0.036401449999999995,0.0365,short
147,1000XECUSDT,long,2023-11-26 22:01:07,2023-11-26 22:12:05,0.02937,0.02941,0.19,-0.15,0.06,0.029349441,0.029449298999999998,short
148,RENUSDT,long,2023-11-26 22:04:08,2023-11-26 22:12:05,0.05832,0.05845,0.35,-0.1,0.14,0.058308335999999995,0.058570776,short
149,MAGICUSDT,long,2023-11-26 22:05:08,2023-11-26 22:12:05,0.8656,0.8676,0.44,-0.07,0.15,0.86568656,0.8701011200000002,short
150,ASTRUSDT,long,2023-11-26 22:10:08,2023-11-26 22:12:06,0.06731,0.06731,0.01,-0.08,-0.08,0.06731,0.06737057899999999,short
151,ADAUSDT,long,2023-11-26 22:07:09,2023-11-26 22:13:06,0.3894,0.3901,0.23,-0.08,0.1,0.3894,0.3906071400000001,short
152,ANTUSDT,long,2023-11-26 22:08:12,2023-11-26 22:13:06,5.313,5.309,-0.1,-0.21,-0.16,5.3060931,5.3119374,short
153,BALUSDT,long,2023-11-26 22:08:12,2023-11-26 22:13:06,3.805,3.805,0.03,-0.11,-0.08,3.8038585000000005,3.8091855000000003,short
154,BTCUSDT,long,2023-11-26 22:04:08,2023-11-26 22:14:06,37671.0,37718.9,0.12,-0.1,0.05,37663.4658,37746.342,short
155,BCHUSDT,long,2023-11-26 22:07:08,2023-11-26 22:14:06,226.78,226.91,0.08,-0.04,-0.02,226.870712,227.14284800000001,short
156,LEVERUSDT,long,2023-11-26 22:08:12,2023-11-26 22:14:06,0.001373,0.001373,0.07,-0.23,-0.08,0.0013709405000000001,0.0013750595000000003,short
157,STORJUSDT,long,2023-11-26 22:09:08,2023-11-26 22:14:06,0.7386,0.7391,0.15,-0.05,-0.01,0.73882158,0.74029878,short
158,ICXUSDT,long,2023-11-26 22:10:08,2023-11-26 22:14:06,0.2588,0.2589,0.07,-0.12,-0.04,0.25869648,0.2591882,short
159,IDUSDT,long,2023-11-26 22:06:08,2023-11-26 22:15:05,0.2581,0.2591,0.81,-0.12,0.31,0.25799676,0.26039709,short
160,NKNUSDT,long,2023-11-26 22:08:13,2023-11-26 22:15:06,0.10971,0.10946,-0.07,-0.33,-0.31,0.10943572500000001,0.109720971,short
161,ILVUSDT,long,2023-11-26 22:09:08,2023-11-26 22:15:06,117.79,117.48,-0.09,-0.52,-0.34,117.271724,117.778221,short
162,TRXUSDT,long,2023-11-26 22:04:08,2023-11-26 22:16:05,0.10811,0.10815,0.0,-0.09,-0.04,0.108099189,0.108196488,short
163,OXTUSDT,long,2023-11-26 22:08:09,2023-11-26 22:16:05,0.07447,0.07463,0.36,-0.08,0.13,0.07447,0.074797668,short
164,MKRUSDT,long,2023-11-26 22:10:08,2023-11-26 22:16:05,1490.1,1489.6,0.03,-0.16,-0.11,1488.9079199999999,1491.73911,short
165,REEFUSDT,long,2023-11-26 22:13:08,2023-11-26 22:16:05,0.001734,0.001731,0.09,-0.25,-0.25,0.0017310522,0.0017369478000000002,short
166,ARPAUSDT,long,2023-11-26 22:01:07,2023-11-26 22:17:05,0.05193,0.05205,0.31,-0.21,0.15,0.051862491,0.052132527,short
167,RVNUSDT,long,2023-11-26 22:06:08,2023-11-26 22:17:05,0.01799,0.01797,0.03,-0.19,-0.19,0.017970211,0.018009789000000002,short
168,LITUSDT,long,2023-11-26 22:08:13,2023-11-26 22:17:05,0.905,0.905,0.14,-0.19,-0.08,0.9040045,0.906991,short
169,ONEUSDT,long,2023-11-26 22:12:07,2023-11-26 22:17:06,0.01359,0.01354,-0.08,-0.45,-0.45,0.013539717,0.01359,short
170,ANKRUSDT,long,2023-11-26 22:04:08,2023-11-26 22:18:06,0.02525,0.02524,0.12,-0.16,-0.12,0.0252298,0.0253005,short
171,CELRUSDT,long,2023-11-26 22:12:07,2023-11-26 22:18:06,0.01511,0.01508,-0.01,-0.34,-0.28,0.015070713999999999,0.015120577,short
172,EOSUSDT,long,2023-11-26 21:53:07,2023-11-26 22:19:05,0.697,0.698,0.35,-0.22,0.06,0.6960242,0.6999970999999999,short
173,SSVUSDT,short,2023-11-26 22:13:08,2023-11-26 22:19:06,22.63,22.62,0.14,-0.12,-0.04,22.580213999999998,22.639052,long
174,BAKEUSDT,long,2023-11-26 22:13:08,2023-11-26 22:23:05,0.1553,0.1555,0.37,-0.27,0.05,0.15500492999999999,0.15599885,short
175,AXSUSDT,long,2023-11-26 22:15:08,2023-11-26 22:23:05,6.604,6.623,0.62,-0.2,0.21,6.5960752000000005,6.650227999999999,short
176,INJUSDT,long,2023-11-26 22:08:13,2023-11-26 22:25:05,16.787,16.856,0.64,-0.15,0.33,16.7752491,16.9078664,short
177,SEIUSDT,long,2023-11-26 22:23:07,2023-11-26 22:25:05,0.2308,0.2301,0.01,-0.51,-0.38,0.22980756000000002,0.23100771999999997,short
178,ADAUSDT,long,2023-11-26 22:15:08,2023-11-26 22:26:05,0.3906,0.3919,0.38,-0.13,0.25,0.39040470000000005,0.39239675999999996,short
179,MKRUSDT,long,2023-11-26 22:24:07,2023-11-26 22:26:05,1493.9,1488.8,-0.33,-0.45,-0.42,1488.37257,1490.1652500000002,short
180,ALPHAUSDT,long,2023-11-26 22:24:07,2023-11-26 22:27:05,0.10215,0.10186,0.0,-0.36,-0.36,0.10186398,0.10223172,short
181,QNTUSDT,short,2023-11-26 22:17:07,2023-11-26 22:30:05,102.15,102.05,0.1,-0.07,0.02,101.96613,102.139785,long
182,CYBERUSDT,long,2023-11-26 22:26:07,2023-11-26 22:31:05,6.328,6.311,0.2,-0.35,-0.35,6.3109144,6.3457184,short
183,ARUSDT,long,2023-11-26 22:29:07,2023-11-26 22:31:05,7.728,7.725,-0.04,-0.16,-0.12,7.7218176,7.7310912,short
184,DENTUSDT,long,2023-11-26 22:07:09,2023-11-26 22:33:05,0.000835,0.000835,0.16,-0.2,-0.08,0.0008339980000000001,0.000837004,short
185,FLOWUSDT,long,2023-11-26 22:32:07,2023-11-26 22:33:06,0.68,0.679,-0.08,-0.23,-0.23,0.6789800000000001,0.68,short
186,MANAUSDT,long,2023-11-26 22:34:07,2023-11-26 22:36:05,0.4532,0.4527,0.03,-0.19,-0.19,0.45270148,0.45369852000000005,short
187,BNBUSDT,long,2023-11-26 22:35:07,2023-11-26 22:36:05,232.92,232.78,-0.08,-0.14,-0.14,232.78024799999997,232.92,short
188,RLCUSDT,long,2023-11-26 22:35:07,2023-11-26 22:36:05,1.5353,1.5343,-0.09,-0.16,-0.15,1.53407176,1.5351464700000002,short
189,BNTUSDT,long,2023-11-26 22:35:08,2023-11-26 22:36:05,0.7557,0.7549,-0.09,-0.2,-0.19,0.7547931600000001,0.75562443,short
190,REEFUSDT,long,2023-11-26 22:33:07,2023-11-26 22:37:05,0.001746,0.001742,0.21,-0.37,-0.31,0.0017409366,0.0017510633999999997,short
191,MAGICUSDT,long,2023-11-26 22:35:07,2023-11-26 22:37:05,0.8692,0.8657,-0.01,-0.48,-0.48,0.8657231999999999,0.8698084399999999,short
192,XVGUSDT,long,2023-11-26 22:35:08,2023-11-26 22:37:05,0.003555,0.003549,-0.05,-0.25,-0.25,0.0035489565,0.0035560665,short
193,STMXUSDT,long,2023-11-26 22:05:08,2023-11-26 22:38:05,0.00813,0.00813,0.29,-0.2,-0.08,0.008120244,0.008160081,short
194,IMXUSDT,long,2023-11-26 22:28:08,2023-11-26 22:38:05,1.3703,1.3729,0.45,-0.12,0.11,1.3697518800000001,1.3775625900000001,short
195,XEMUSDT,long,2023-11-26 22:31:06,2023-11-26 22:38:06,0.0365,0.0363,-0.08,-0.63,-0.63,0.03629925,0.0365,short
196,XTZUSDT,long,2023-11-26 22:34:07,2023-11-26 22:38:06,0.845,0.844,0.04,-0.32,-0.2,0.842972,0.846014,short
197,RVNUSDT,long,2023-11-26 22:35:07,2023-11-26 22:38:06,0.01802,0.01799,-0.14,-0.3,-0.25,0.017980356000000003,0.018009188,short
198,XVSUSDT,long,2023-11-26 22:35:08,2023-11-26 22:38:06,6.983,6.957,-0.32,-0.45,-0.45,6.957162899999999,6.9662408,short
199,GALUSDT,long,2023-11-26 22:33:07,2023-11-26 22:39:05,1.423,1.4219,0.14,-0.16,-0.16,1.4218616,1.4261306,short
200,LEVERUSDT,long,2023-11-26 22:35:07,2023-11-26 22:39:05,0.001378,0.001376,-0.01,-0.23,-0.23,0.0013759330000000002,0.0013789646,short
201,FLOWUSDT,long,2023-11-26 22:34:08,2023-11-26 22:40:05,0.681,0.678,-0.08,-0.52,-0.52,0.6780036,0.681,short
202,FRONTUSDT,short,2023-11-26 22:29:07,2023-11-26 22:42:05,0.3375,0.3377,0.07,-0.23,-0.14,0.33699375000000004,0.33800625000000006,long
203,QNTUSDT,short,2023-11-26 22:38:08,2023-11-26 22:42:05,101.72,101.7,0.03,-0.15,-0.06,101.608108,101.791204,long
204,UNFIUSDT,long,2023-11-26 22:40:07,2023-11-26 22:42:05,13.9,13.886,0.28,-0.26,-0.18,13.87498,13.950040000000001,short
205,MKRUSDT,long,2023-11-26 22:35:07,2023-11-26 22:44:06,1493.2,1491.3,-0.04,-0.21,-0.21,1491.2588400000002,1493.79728,short
206,GALUSDT,long,2023-11-26 22:43:07,2023-11-26 22:44:06,1.4258,1.4246,-0.08,-0.16,-0.16,1.42465936,1.4258,short
207,TLMUSDT,long,2023-11-26 22:39:07,2023-11-26 22:46:06,0.01666,0.0168,1.12,-0.74,0.76,0.016550044,0.01685992,short
208,HOOKUSDT,long,2023-11-26 22:43:07,2023-11-26 22:46:06,1.0031,1.0028,0.08,-0.14,-0.11,1.0024981400000001,1.0047049600000002,short
209,STEEMUSDT,long,2023-11-26 22:43:07,2023-11-26 22:48:06,0.2692,0.269,-0.01,-0.15,-0.15,0.26901156,0.26938843999999995,short
210,EDUUSDT,long,2023-11-26 22:43:07,2023-11-26 22:50:05,0.6067,0.6068,-0.01,-0.15,-0.06,0.60627531,0.60712469,short
211,GTCUSDT,long,2023-11-26 22:28:08,2023-11-26 22:51:06,1.059,1.06,0.2,-0.27,0.01,1.0569879,1.0619652,short
212,UNFIUSDT,long,2023-11-26 22:49:07,2023-11-26 22:51:06,14.048,13.883,-0.24,-1.54,-1.25,13.842899200000002,14.025523199999999,short
213,CFXUSDT,long,2023-11-26 22:35:07,2023-11-26 22:52:05,0.16,0.1603,0.23,-0.21,0.11,0.15979200000000002,0.16049600000000003,short
214,OPUSDT,long,2023-11-26 22:52:08,2023-11-26 22:55:05,1.8179,1.8179,0.01,-0.1,-0.08,1.8175364200000002,1.8195361099999998,short
215,MAGICUSDT,long,2023-11-26 22:42:07,2023-11-26 22:57:05,0.8683,0.8727,0.6,-0.09,0.43,0.86821317,0.8742044399999999,short
216,FXSUSDT,long,2023-11-26 22:56:08,2023-11-26 22:57:05,7.302,7.301,-0.07,-0.09,-0.09,7.3012698,7.302730199999999,short
217,GALUSDT,long,2023-11-26 22:54:08,2023-11-26 22:59:06,1.4506,1.4516,0.2,-0.23,-0.01,1.4484241,1.4546616799999998,short
218,SEIUSDT,long,2023-11-26 22:52:08,2023-11-26 23:00:05,0.2299,0.2306,0.44,-0.12,0.22,0.22980804,0.23109548000000002,short
219,APTUSDT,long,2023-11-26 22:56:08,2023-11-26 23:00:05,7.321,7.321,-0.04,-0.09,-0.08,7.3202679,7.3239284,short
220,FLMUSDT,long,2023-11-26 22:08:09,2023-11-26 23:02:06,0.0836,0.0838,0.64,-0.2,0.16,0.08349967999999999,0.08420192,short
221,XEMUSDT,long,2023-11-26 22:43:07,2023-11-26 23:03:06,0.0365,0.0363,-0.08,-0.63,-0.63,0.03629925,0.0365,short
222,OGNUSDT,long,2023-11-26 22:52:08,2023-11-26 23:04:05,0.1334,0.1331,0.52,-0.38,-0.3,0.1329998,0.1342004,short
